[2023-02-08 01:08:37] Environments:
------------  --------------------------------------------------------------------------------
sys.platform  linux
Python        3.10.8 (main, Nov 24 2022, 14:13:03) [GCC 11.2.0]
JAX           0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jax
jaxlib        0.4.1 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/jaxlib
Flax          0.6.3 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/flax
Optax         0.1.4 @/mnt/home/giung/.conda/envs/jax-vessl/lib/python3.10/site-packages/optax
------------  --------------------------------------------------------------------------------

[2023-02-08 01:08:37] Command line arguments:
- args.data_root         : ./data/
- args.data_name         : CIFAR10_x32
- args.data_augmentation : none
- args.data_proportional : 1.0
- args.model_depth       : 20
- args.model_width       : 1
- args.model_style       : FRN-Swish
- args.optim_bs          : 80
- args.optim_lr          : 1e-06
- args.optim_momentum    : 0.9
- args.num_cycles        : 30
- args.num_epochs_quiet  : 180
- args.num_epochs_noisy  : 20
- args.prior_precision   : 2.5
- args.save              : /mnt/home/giung/giung2-dev/projects/bnn-sgmcmc/save/CIFAR10_x32/R20-FRN-Swish/SGHMC/bs-0080_nc-0030_ne-0180-0020_lr-0.0000010_mo-0.90_pr-00/42
- args.seed              : 42
- args.precision         : fp32

[2023-02-08 01:13:31] [Cycle   1/ 30][Epoch  61/200] trn/posterior_energy -1.208e+05, trn/neg_log_likelihood  1.762e+01, trn/neg_log_prior -1.208e+05, trn/lr  7.907e-07, trn/temperature  0.000e+00, val/acc 8.031e-01, val/nll 9.725e-01
[2023-02-08 01:13:35] [Cycle   1/ 30][Epoch  62/200] trn/posterior_energy -1.209e+05, trn/neg_log_likelihood  1.802e+01, trn/neg_log_prior -1.209e+05, trn/lr  7.843e-07, trn/temperature  0.000e+00, val/acc 8.041e-01, val/nll 9.695e-01
[2023-02-08 01:13:39] [Cycle   1/ 30][Epoch  63/200] trn/posterior_energy -1.210e+05, trn/neg_log_likelihood  1.842e+01, trn/neg_log_prior -1.210e+05, trn/lr  7.778e-07, trn/temperature  0.000e+00, val/acc 8.033e-01, val/nll 9.634e-01
[2023-02-08 01:13:43] [Cycle   1/ 30][Epoch  64/200] trn/posterior_energy -1.211e+05, trn/neg_log_likelihood  1.881e+01, trn/neg_log_prior -1.211e+05, trn/lr  7.712e-07, trn/temperature  0.000e+00, val/acc 8.042e-01, val/nll 9.594e-01
[2023-02-08 01:13:47] [Cycle   1/ 30][Epoch  65/200] trn/posterior_energy -1.212e+05, trn/neg_log_likelihood  1.918e+01, trn/neg_log_prior -1.212e+05, trn/lr  7.646e-07, trn/temperature  0.000e+00, val/acc 8.039e-01, val/nll 9.589e-01
[2023-02-08 01:13:51] [Cycle   1/ 30][Epoch  66/200] trn/posterior_energy -1.213e+05, trn/neg_log_likelihood  1.954e+01, trn/neg_log_prior -1.213e+05, trn/lr  7.579e-07, trn/temperature  0.000e+00, val/acc 8.028e-01, val/nll 9.519e-01
[2023-02-08 01:13:56] [Cycle   1/ 30][Epoch  67/200] trn/posterior_energy -1.214e+05, trn/neg_log_likelihood  1.986e+01, trn/neg_log_prior -1.214e+05, trn/lr  7.511e-07, trn/temperature  0.000e+00, val/acc 8.041e-01, val/nll 9.490e-01
[2023-02-08 01:14:00] [Cycle   1/ 30][Epoch  68/200] trn/posterior_energy -1.215e+05, trn/neg_log_likelihood  2.020e+01, trn/neg_log_prior -1.215e+05, trn/lr  7.443e-07, trn/temperature  0.000e+00, val/acc 8.041e-01, val/nll 9.484e-01
[2023-02-08 01:14:04] [Cycle   1/ 30][Epoch  69/200] trn/posterior_energy -1.216e+05, trn/neg_log_likelihood  2.048e+01, trn/neg_log_prior -1.216e+05, trn/lr  7.374e-07, trn/temperature  0.000e+00, val/acc 8.040e-01, val/nll 9.463e-01
[2023-02-08 01:14:08] [Cycle   1/ 30][Epoch  70/200] trn/posterior_energy -1.217e+05, trn/neg_log_likelihood  2.075e+01, trn/neg_log_prior -1.217e+05, trn/lr  7.305e-07, trn/temperature  0.000e+00, val/acc 8.043e-01, val/nll 9.457e-01
